date,sales,source,prediction
2025-02-01,12801705.0,Lyrcon DB,12226978.308861574
2025-03-01,26810000.0,Lyrcon DB,359791.82059659
2025-04-01,29301179.0,Lyrcon DB,377771.94641645707
2025-05-01,39707801.0,Lyrcon DB,-4291067.890041744
2025-06-01,40657211.0,Lyrcon DB,-3129736.39337598
2025-07-01,31052342.0,Lyrcon DB,-9038144.074066004
2025-08-01,31316283.0,Lyrcon DB,113546.09505601988
2025-09-01,43890388.0,Lyrcon DB,5994506.0512108905
2025-10-01,38105461.0,Lyrcon DB,-1407429.0392302715
2025-11-01,43244496.0,Lyrcon DB,-10562542.04951913
2025-12-01,51076400.0,Lyrcon DB,-140935.96305205338
2026-01-01,15000500.0,Lyrcon DB,-4694785.087355486
